formula	moleculeIds	moleculeNames	SuperClass	Class	
C13H18O2	HMDB0037720|HMDB0035008|HMDB0032176|HMDB0001925|HMDB0029669|HMDB0033196|HMDB0034469|HMDB0034470|HMDB0034472|HMDB0034556|HMDB0035016|HMDB0035017|HMDB0035181|HMDB0036025|HMDB0036240|HMDB0036386|HMDB0036391|HMDB0037194|HMDB0037604|HMDB0037623|HMDB0038605|HMDB0039101|HMDB0040431|HMDB0132932|HMDB0132940	2-Phenylethyl 2-methylbutanoate|3-Methylbutyl phenylacetate|Benzyl hexanoate|Ibuprofen|Eremopetasinorone A|(E)-6-Methyl-6-(5-methyl-2-furanyl)-3-hepten-2-one|2-Phenylpropyl butyrate|2-Phenylpropyl isobutyrate|3-Phenylpropyl 2-methylpropanoate|3-Acetoxy-3-methyl-1-phenylbutane|2-Phenylethyl pentanoate|2-Phenylethyl 3-methylbutanoate|xi-8,9-Dehydrotheaspirone|2,4,6-Trimethyl-4-phenyl-1,3-dioxane|Methyl 4-tert-butylphenylacetate|1-Phenylpropyl butyrate|alpha-Methylphenethyl butyrate|Ethyl (±)-2-ethyl-3-phenylpropanoate|10beta-12,13-Dinor-8-oxo-6-eremophilen-11-al|1-Methyl-1-phenylethyl isobutyrate|Amyl phenylacetate|Etrogol|Hexyl benzoate|1-(4-methoxyphenyl)-4-methylpentan-3-one|1-(4-methoxyphenyl)-4-methylpent-1-en-3-ol	Lipids and lipid-like molecules	"Fatty Acyls;"	
C13H18O3	HMDB0032121|HMDB0036819|HMDB0038894|HMDB0060565|HMDB0060920|HMDB0060921|HMDB0061943|HMDB0132945|HMDB0132946|HMDB0132941|HMDB0132943|HMDB0140966|HMDB0140967	Annuionone B|Dehydrovomifoliol|Isoamyl p-anisate|1-Hydroxyibuprofen|2-Hydroxyibuprofen|3-Hydroxyibuprofen|Hexyl salicylic acid|4-hydroxy-1-(4-methoxyphenyl)-4-methylpentan-3-one|2-hydroxy-1-(4-methoxyphenyl)-4-methylpentan-3-one|1-hydroxy-1-(4-methoxyphenyl)-4-methylpentan-3-one|1-hydroxy-5-(4-methoxyphenyl)-2-methylpentan-3-one|2-hydroxy-2-[4-(2-methylpropyl)phenyl]propanoic acid|3-hydroxy-2-[4-(2-methylpropyl)phenyl]propanoic acid	Lipids and lipid-like molecules	";Prenol lipids;Fatty Acyls"	
C13H18O6S	HMDB0132961|HMDB0132965|HMDB0132968	{[1-(4-methoxyphenyl)-4-methyl-3-oxopentyl]oxy}sulfonic acid|{[5-(4-methoxyphenyl)-2-methyl-3-oxopentyl]oxy}sulfonic acid|{[1-(4-methoxyphenyl)-4-methyl-3-oxopentan-2-yl]oxy}sulfonic acid	Other		
C13H20O2	HMDB0040233|HMDB0031869|HMDB0029668|HMDB0034672|HMDB0034984|HMDB0035228|HMDB0036686|HMDB0036821|HMDB0036824|HMDB0037776|HMDB0038047|HMDB0038529|HMDB0041636|HMDB0132947	2,3,5,6,8,8a-Hexahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one|(S,E)-Lyratol propanoate|Eremopetasinorol|(5alpha,8beta,9beta)-5,9-Epoxy-3,6-megastigmadien-8-ol|(5R,6S)-5,6-Epoxy-7-megastigmen-9-one|Theaspirone A|2,2,6,7-Tetramethylbicyclo[4.3.0]nona-1(9),4-diene-7,8-diol|3-Hydroxy-beta-ionone|Acetal R|5,9:6,9-Diepoxy-3-megastigmene|Carvyl propionate|5,9:6,9-Diepoxy-4-megastigmene|(3R,8E)-3-Hydroxy-5,8-megastigmadien-7-one|1-(4-methoxyphenyl)-4-methylpentan-3-ol	Lipids and lipid-like molecules	";Prenol lipids"	
C13H22O	HMDB0038216|HMDB0032355|HMDB0032913|HMDB0031846|HMDB0036026|HMDB0036184|HMDB0036820|HMDB0036823|HMDB0038026|HMDB0038731|HMDB0038897|HMDB0041629	5-Isopropyl-2-(2-methylpropyl)-2-cyclohexen-1-one|(+/-)-[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one|4-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-butanone|Geranylacetone|Octahydro-6-isopropyl-2(1H)-naphthalenone|7,8-Dehydro-3,4-dihydro-beta-ionol|beta-Ionol|Theaspirane|Dihydro-alpha-ionone|4,7-Megastigmadien-9-ol|(E)-2-(2-Octenyl)cyclopentanone|(3S,6E)-Nerolidol	Lipids and lipid-like molecules	"Prenol lipids;"	
C13H26O2	HMDB0034140|HMDB0000910|HMDB0029552|HMDB0031018|HMDB0032211|HMDB0036217|HMDB0036219|HMDB0037311|HMDB0038729|HMDB0059900|HMDB0061828|HMDB0061829	Octyl 3-methylbutanoate|Tridecanoic acid|Ethyl undecanoate|Methyl dodecanoate|Decanal propyleneglycol acetal|Pentyl octanoate|Octyl 2-methylbutyrate|Decyl propionate|3-Methylbutyl octanoate|Propyl decanoate|9-Methyldodecanoic acid|Isopropyl dodecanoic acid	Lipids and lipid-like molecules	"Fatty Acyls;"	
C13H26O5	HMDB0032297	Glyceryl 5-hydroxydecanoate	Lipids and lipid-like molecules	Glycerolipids	
C14H12O2	HMDB0032039|HMDB0014814	Benzoin|Benzyl Benzoate	Other		
C14H12O3	HMDB0003747|HMDB0015497|HMDB0015575|HMDB0029818|HMDB0032217|HMDB0034118|HMDB0034257|HMDB0034270|HMDB0037667|HMDB0135182|HMDB0135183|HMDB0135184|HMDB0135185|HMDB0135187|HMDB0135188	Resveratrol|Oxybenzone|Trioxsalen|Benzyl salicylate|2,4-Difurfurylfuran|(Z)-Resveratrol|Seselin|5,6-Dihydro-5-hydroxy-6-methyl-2H-pyran-2-one|o-Tolyl salicylate|2-hydroxy-2-(2-hydroxyphenyl)-1-phenylethan-1-one|2-hydroxy-1-(2-hydroxyphenyl)-2-phenylethan-1-one|2-hydroxy-1-(4-hydroxyphenyl)-2-phenylethan-1-one|2-hydroxy-2-(4-hydroxyphenyl)-1-phenylethan-1-one|2-hydroxy-2-(3-hydroxyphenyl)-1-phenylethan-1-one|2-hydroxy-1-(3-hydroxyphenyl)-2-phenylethan-1-one	Other		
C14H20O3	HMDB0034462|HMDB0040778	Heptyl 4-hydroxybenzoate|Eremopetasidione	Lipids and lipid-like molecules	";Prenol lipids"	
C14H20O9	HMDB0031721	Leonuriside A	Other		
C14H22O	HMDB0031738|HMDB0032397|HMDB0013825|HMDB0031737|HMDB0035245|HMDB0035631|HMDB0036023|HMDB0036024|HMDB0038130|HMDB0061831|HMDB0133179	3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one|Methyl-delta-ionone|4-(1,1,3,3-Tetramethylbutyl)-phenol|delta-Methylionone|1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1-penten-3-one|alpha-Irone|Etaspirene|10-Isopropyl-2,7-dimethyl-1-oxaspiro[4.5]deca-3,6-diene|1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-1-penten-3-one|(Z)-alpha-Irone|2-benzylheptan-1-ol	Lipids and lipid-like molecules	"Prenol lipids;;Fatty Acyls"	
C14H22O2	HMDB0036790|HMDB0036791|HMDB0035593|HMDB0037605|HMDB0037820|HMDB0040178	Kobusone|Isokobusone|Rishitin|(10betaH,11xi)-11-Hydroxy-13-nor-6-eremophilen-8-one|Acetaldehyde butyl phenethyl acetal|2,6-Di-tert-butyl-1,4-benzenediol	Lipids and lipid-like molecules	";Prenol lipids"	
C14H24N2O9	HMDB0060494	N-Acetylmuramoyl-Ala	Other		
C14H24O4	HMDB0030993|HMDB0036143	5-Nonyltetrahydro-2-oxo-3-furancarboxylic acid|Monomenthyl succinate	Lipids and lipid-like molecules	";Prenol lipids"	
C14H26O2	HMDB0031073|HMDB0040228|HMDB0038056|HMDB0032321|HMDB0000499|HMDB0000521|HMDB0002000|HMDB0005051|HMDB0010732|HMDB0031029|HMDB0030921|HMDB0032152|HMDB0034561|HMDB0037188|HMDB0037189|HMDB0037227|HMDB0037228|HMDB0037369|HMDB0037633|HMDB0062243|HMDB0062248|HMDB0094671	12-Methyl-13-tridecanolide|1,1-Diethoxy-3,7-dimethyl-2,6-octadiene|delta-Tetradecalactone|2-Hexenyl octanoate|5-Tetradecenoic acid|5Z-Tetradecenoic acid|Myristoleic acid|Tsuzuic acid|trans-Tetra-dec-2-enoic acid|Ethyl (E)-2-dodecenoate|(R)-14-Methyloxacyclotetradecan-2-one|Acetaldehyde di-cis-3-hexenyl acetal|Houttuynin|Rhodinyl butyrate|Rhodinyl isobutyrate|Citronellyl butyrate|Citronellyl isobutyrate|Butyl 2-decenoate|xi-Tetrahydro-3-nonyl-2H-pyran-2-one|7Z-tetradecenoic acid|9E-tetradecenoic acid|Heptyl cyclohexane carboxylic acid	Lipids and lipid-like molecules	";Prenol lipids;Fatty Acyls"	
C14H26O3	HMDB0030982|HMDB0032370|HMDB0010730	6-Ketomyristic acid|L-Menthyl (R,S)-3-hydroxybutyrate|3-Oxotetradecanoic acid	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C14H26O4	HMDB0000872|HMDB0040429|HMDB0041618|HMDB0059946|HMDB0059947	Tetradecanedioic acid|Diethyl decanedioate|Diisobutyl adipate|2-Hydroxypropyl 2-isopropyl-5-methylcyclohexyl carbonate|1-Hydroxypropan-2-yl 2-isopropyl-5-methylcyclohexyl carbonate	Lipids and lipid-like molecules	"Fatty Acyls;Prenol lipids"	
C14H26O6	HMDB0032959	1-Octen-3-yl glucoside	Lipids and lipid-like molecules	Fatty Acyls	
C14H28O2	HMDB0031072|HMDB0032318|HMDB0000806|HMDB0002221|HMDB0032548|HMDB0033788|HMDB0034461|HMDB0036216|HMDB0037312|HMDB0037495|HMDB0038034|HMDB0038969|HMDB0059865|HMDB0061781	12-Methyltridecanoic acid|Hexanal octane-1,3-diol acetal|Myristic acid|2,6,10-Trimethylundecanoic acid|Undecanal propyleneglycol acetal|Ethyl dodecanoate|Heptyl heptanoate|Hexyl octanoate|Decyl butanoate|3-Methylbutyl nonanoate|Nonyl isovalerate|Dodecyl acetate|Isobutyl decanoate|10-Methyltridecanoic acid	Lipids and lipid-like molecules	"Fatty Acyls;"	
C14H30O8	HMDB0061835	Heptaethylene glycol	Other		
C15H11I4NO4	HMDB0014651|HMDB0000248	Dextrothyroxine|Thyroxine	Other		
C15H12O3	HMDB0032129|HMDB0032130|HMDB0036738|HMDB0039612|HMDB0130494|HMDB0135586|HMDB0135587|HMDB0135588|HMDB0135590|HMDB0135591|HMDB0135592	2',5'-Dihydroxychalcone|3',4'-Dihydroxychalcone|Lettucenin A|2,4-Dihydroxychalcone|7-hydroxy-3-phenyl-3,4-dihydro-2H-1-benzopyran-4-one|1-(2-hydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one|3-(3,4-dihydroxyphenyl)-1-phenylprop-2-en-1-one|3-(2,4-dihydroxyphenyl)-1-phenylprop-2-en-1-one|1,3-bis(4-hydroxyphenyl)prop-2-en-1-one|1-(3-hydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one|4-(3-benzoyloxiran-2-yl)phenol	Lipids and lipid-like molecules	";Prenol lipids"	
C15H13O7S	HMDB0127795|HMDB0127893	2-(3,4-dihydroxyphenyl)-3-hydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate|4-(3,5-dihydroxy-7-sulfino-3,4-dihydro-2H-1-benzopyran-2-yl)-2-hydroxybenzen-1-olate	Other		
C15H14O	HMDB0032041|HMDB0032561|HMDB0035896	1,3-Diphenyl-1-propanone|1,3-Diphenyl-2-propanone|Lactaroviolin	Lipids and lipid-like molecules	";Prenol lipids"	
C15H17N3O4	HMDB0013240	Indoleacetyl glutamine	Other		
C15H18N6O	HMDB0035233	Olomoucine	Other		
C15H18O10	HMDB0041720|HMDB0124979|HMDB0124980|HMDB0124981|HMDB0126431|HMDB0126432|HMDB0126433|HMDB0128026|HMDB0128027|HMDB0133881|HMDB0133882|HMDB0133883|HMDB0134096|HMDB0134097|HMDB0134098|HMDB0134106|HMDB0134107|HMDB0134108	Dihydrocaffeic acid 3-O-glucuronide|6-[4-(2-carboxyethyl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[5-(2-carboxyethyl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[3-(3,4-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[4-(2-carboxyethyl)-3-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[2-(2-carboxyethyl)-5-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[3-(2,4-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[3-(2-carboxyethyl)-5-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[3-(3,5-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[2-(1-carboxyethyl)-5-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[4-(1-carboxyethyl)-3-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[2-(2,4-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[3-(2-carboxyethyl)-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[2-(2-carboxyethyl)-6-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[3-(2,3-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[3-(2-carboxyethyl)-4-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-[2-(2-carboxyethyl)-4-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid|6-{[3-(2,5-dihydroxyphenyl)propanoyl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid	Other		
C15H18O4	HMDB0030549|HMDB0030691|HMDB0035596|HMDB0038399|HMDB0039497|HMDB0124830	5,6-Dihydro-4-methoxy-6-[2-(4-methoxyphenyl)ethyl]-2H-pyran-2-one|Dihydrosuberenol|Armexifolin|Enokipodin D|Dihydrowyerol|3-[4-hydroxy-2-methoxy-3-(3-methylbut-2-en-1-yl)phenyl]prop-2-enoic acid	Lipids and lipid-like molecules	";Prenol lipids;Fatty Acyls"	
C15H22N2O4	HMDB0028941|HMDB0028919|HMDB0029108|HMDB0029109|HMDB0033464|HMDB0139646	Leucyl-Tyrosine|Isoleucyl-Tyrosine|Tyrosyl-Isoleucine|Tyrosyl-Leucine|Sinapoylputrescine|N-(4-aminobutyl)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enimidic acid	Other		
C15H22O2	HMDB0036647|HMDB0037710|HMDB0034562|HMDB0031349|HMDB0032081|HMDB0030016|HMDB0033252|HMDB0033253|HMDB0033960|HMDB0034742|HMDB0034956|HMDB0035202|HMDB0035407|HMDB0035408|HMDB0035413|HMDB0035639|HMDB0035794|HMDB0035869|HMDB0035889|HMDB0035935|HMDB0036035|HMDB0036390|HMDB0036392|HMDB0036427|HMDB0036449|HMDB0036466|HMDB0037038|HMDB0037391|HMDB0037640|HMDB0037739|HMDB0038190|HMDB0038198|HMDB0038698|HMDB0038795|HMDB0038796|HMDB0038914|HMDB0039621|HMDB0041036|HMDB0134131|HMDB0134132|HMDB0134133|HMDB0134134|HMDB0134135|HMDB0134136|HMDB0134137|HMDB0134138|HMDB0134139|HMDB0134140|HMDB0134141|HMDB0134142	Isocurcumenol|4-Methylphenyl octanoate|9-Pentadecene-12,14-diyne-1,11-diol|Epiacoronene|4,10-Longipinanedione|Valerenic acid|Curcumanolide A|Curcumenone|Curcumenol|Saussurea lactone|Oxysolavetivone|7-Hydroxycostal|Dehydrocurdione|1,10-Epoxygermacrone|(4alpha,5alpha)-11-Eremophilene-2,9-dione|Petasalbin|beta-Costic acid|alpha-Rotunol|Germacrone 4,5-epoxide|Dihydroisoalantolactone|Marasmene|3-Phenylpropyl hexanoate|(Z)-alpha-Bergamotenoic acid|Procurcumenol|(1alpha,4beta,5beta)-4-Hydroxy-7(11),10(14)-guaiadien-8-one|Zerumbone oxide|Cyclodehydroisolubimin|p-Hydroxynonanophenone|2-Methyl-4-phenyl-2-butyl 2-methylpropanoate|7-(1,3-Cyclohexadienyl)-5-hydroxy-2,6-dimethyl-2-hepten-4-one|Rishitinol|3,7-Bisaboladiene-2,8-dione|xi-2-Hydroxy-1,3,5-bisabolatrien-9-one|7,9-Illudadiene-3,14-diol|2,7(14)-Illudadiene-10,15-diol|4,6-Decadiyn-1-ol isovalerate|beta-Santalic acid|Sugeonol|2-[hydroxy(phenyl)methyl]octanal|2-[(3-hydroxyphenyl)methyl]octanal|2-[(4-hydroxyphenyl)methyl]octanal|2-benzyl-7-hydroxyoctanal|2-benzyl-8-hydroxyoctanal|2-benzyl-2-hydroxyoctanal|2-[(2-hydroxyphenyl)methyl]octanal|2-(phenylmethylidene)octane-1,3-diol|3-[(1Z)-2-hexyl-3-hydroxyprop-1-en-1-yl]phenol|4-[(1Z)-2-hexyl-3-hydroxyprop-1-en-1-yl]phenol|(2Z)-2-(phenylmethylidene)octane-1,7-diol|(2-hexyl-3-phenyloxiran-2-yl)methanol	Lipids and lipid-like molecules	"Prenol lipids;;Fatty Acyls"	
